id,source,base_pcm,filler,filler_class,hybrid_flag,loading_wt,filler_k_WmK,particle_size_nm,temp_C,phase,base_k_WmK,keff_WmK,delta_k_pct,keff_source,where
1,Sari & Karaipekli 2007,paraffin,none,base,0,0.0,0.0,NR,25,solid,0.22,0.22,0.0,EXACT,text p.1274
2,Sari & Karaipekli 2007,paraffin,EG,carbon,0,2.0,100.0,NR,25,solid,0.22,0.4,81.8,EXACT,text p.1274
3,Sari & Karaipekli 2007,paraffin,EG,carbon,0,4.0,100.0,NR,25,solid,0.22,0.52,136.4,EXACT,text p.1274
4,Sari & Karaipekli 2007,paraffin,EG,carbon,0,7.0,100.0,NR,25,solid,0.22,0.68,209.1,EXACT,text p.1274
5,Sari & Karaipekli 2007,paraffin,EG,carbon,0,10.0,100.0,NR,25,solid,0.22,0.82,272.7,EXACT,text p.1274
6,Motahar 2016,n-octadecane,MWCNT,carbon,0,0.5,3000.0,140,5,solid,0.375,0.414,10.4,EXACT,Fig2a text
7,Motahar 2016,n-octadecane,MWCNT,carbon,0,1.0,3000.0,140,5,solid,0.375,0.448,19.5,EXACT,Fig2a text
8,Motahar 2016,n-octadecane,MWCNT,carbon,0,2.0,3000.0,140,5,solid,0.375,0.445,18.7,EXACT,Fig2a text
9,Motahar 2016,n-octadecane,MWCNT,carbon,0,5.0,3000.0,140,5,solid,0.375,0.51,36.0,EXACT,Fig2a text
10,Motahar 2016,n-octadecane,MWCNT,carbon,0,0.5,3000.0,140,20,solid,0.375,0.4,6.7,EXACT,Fig2a text
11,Motahar 2016,n-octadecane,MWCNT,carbon,0,1.0,3000.0,140,20,solid,0.375,0.429,14.4,EXACT,Fig2a text
12,Motahar 2016,n-octadecane,MWCNT,carbon,0,2.0,3000.0,140,20,solid,0.375,0.45,20.0,EXACT,Fig2a text
13,Motahar 2016,n-octadecane,MWCNT,carbon,0,5.0,3000.0,140,20,solid,0.375,0.48,28.0,EXACT,Fig2a text
14,Motahar 2016,n-octadecane,MWCNT,carbon,0,5.0,3000.0,140,30,liquid,0.165,0.229,38.8,EXACT,Fig2b text
15,Motahar 2016,n-octadecane,CNF,carbon,0,0.5,2000.0,137,30,liquid,0.165,0.167,1.2,EXACT,Fig4b text
16,Motahar 2016,n-octadecane,CNF,carbon,0,1.0,2000.0,137,30,liquid,0.165,0.18,9.1,EXACT,Fig4b text
17,Motahar 2016,n-octadecane,CNF,carbon,0,2.0,2000.0,137,30,liquid,0.165,0.185,12.1,EXACT,Fig4b text
18,Motahar 2016,n-octadecane,CNF,carbon,0,5.0,2000.0,137,30,liquid,0.165,0.189,14.5,EXACT,Fig4b text
19,Motahar 2016,n-octadecane,CNF,carbon,0,0.5,2000.0,137,55,liquid,0.165,0.154,-6.7,EXACT,Fig4b text
20,Motahar 2016,n-octadecane,CNF,carbon,0,1.0,2000.0,137,55,liquid,0.165,0.165,0.0,EXACT,Fig4b text
21,Motahar 2016,n-octadecane,CNF,carbon,0,2.0,2000.0,137,55,liquid,0.165,0.17,3.0,EXACT,Fig4b text
22,Motahar 2016,n-octadecane,CNF,carbon,0,5.0,2000.0,137,55,liquid,0.165,0.175,6.1,EXACT,Fig4b text
23,Sharma 2025,beeswax,none,base,0,0.0,0.0,NR,25,solid,0.24,0.24,0.0,EXACT,abstract
